,original_text,text
360,#WhatIWouldTellA15YearOldMe your new entrant and year 5 teacher still remember you,your new entrant and year 5 teacher still remember you
361,RT @seanhannity: .@JedediahBila: @realDonaldTrump “has been able to convince a large segment of the population that he’s a reliable conserv…,has been able to convince a large segment of the population that hes a reliable conserv
362,"Miss USA 2009 defends Trump: ""this is such a smear campaign against Mr Trump"" 
#WomenForTrump
Trump TV https://t.co/S8Wq2m6ft7",Miss USA 2009 defends Trump this is such a smear campaign against Mr Trump  Trump TV
363,"RT @8Flibble: #HowToLoseYourJob
Get drunk and forget where you put it.",drunk and forget where you put it
364,RT @WLTaskForce: Almost Every Word Of John McCain's Response To Chelsea Manning's Sentence Commutation Is Flat Out Wrong https://t.co/WDVSe…,Almost Every Word Of John McCains Response To Chelsea Mannings Sentence Commutation Is Flat Out Wrong
365,"RT @Tuniekc: 2 Former Christie allies convicted in N.J. 'Bridgegate' trial; the other turned STAR witness!! Uh-Oh!!
https://t.co/4qjBQRET2R…",2 Former Christie allies convicted in NJ Bridgegate trial the other turned STAR witness
366,RT @kindofcatholic: Dying with the stars #2016In4Words,Dying with the stars
367,"RT @rochelleriley: MI court strikes down GOP-led, racially motivated voting ban, keeps House Speaker from telling voters what they want
htt…",MI court strikes down GOPled racially motivated voting ban keeps House Speaker from telling voters what they want htt
368,RT @IMGl0bal: The latest IMG SHΘUT! https://t.co/zA9sH6fpe3 Thanks to @Museontheloose @holy_fire #resist #subscribe,The latest IMG SHUT Thanks to
369,"RT @kharyp: 28% of GOP early voters in Florida voted for #HillaryClinton &amp; she has an 8 point lead in early voting!
#ImWithHer… ",28 of GOP early voters in Florida voted for   she has an 8 point lead in early voting
370,The #US Air Force once again delays plans to retire the A-10 Thunderbolt II https://t.co/B4BrWbnh4d,The Air Force once again delays plans to retire the A10 Thunderbolt II
371,"Dude, Where's My Trailer?!  #RedneckAMovie @midnight",Dude Wheres My Trailer
372,"RT @xavvypls: Z3pp3in: RT DrJillStein: If Saudi Arabia funded 9/11 and ISIS too, why does Obama protect them, Clinton arm them, … https://t…",Z3pp3in DrJillStein If Saudi Arabia funded 911 and ISIS too why does Obama protect them Clinton arm them
373,RT @RestlessNews: @TheDweck @co_rapunzel4 @cherokeesher2 #FBI #Veterans Putin's thoughts AFTER Treasonous Trump/Russian Putin SECRET Meetin…,Putins thoughts AFTER Treasonous TrumpRussian Putin SECRET Meetin
374,#OffendEveryoneIn4Words Arsene Wenger should die,Arsene Wenger should die
375,"I'm easy to feel, but not to fall. I'm easy to love, but not to let go. I'm easy to forgive, but not to forget.",Im easy to feel but not to fall Im easy to love but not to let go Im easy to forgive but not to forget
376,RT @AC360: Dem operative 'stepping back' after video suggests group incited violence at Trump rallies https://t.co/dfFKWtRVAV https://t.co/…,Dem operative stepping back after video suggests group incited violence at Trump rallies
377,"RT @DavidCayJ: Trump as sold to voters has zip to do with his actual record, which he wants to hide. MSM is sure helping him there https://…",Trump as sold to voters has zip to do with his actual record which he wants to hide MSM is sure helping him there
378,RT @kimmie0518: https://t.co/PV4Qv8oceR,
379,"RT @rikroku: #IDontNeedACostumeBecause I'm scary enough now. I know, I just ran from the mirror.",Im scary enough now I know I just ran from the mirror
380,RT @AndyHashtagger: Pinky bong &amp; Drain #WeedCartoons http://t.co/GqwXqSJml8,Pinky bong   Drain
381,RT @tlamb775: The face of the #maga crowd   The face of Making Russia great again - @PutinRF_Eng's Russia is a terrorist state @seanhannity…,The face of the crowd   The face of Making Russia great again  Russia is a terrorist state
382,"RT @FoxNews: .@DineshDSouza: ""You're beginning to see this... almost terrorist element on campus."" https://t.co/nLiB2P9Gq7 https://t.co/6Dd…",Youre beginning to see this almost terrorist element on campus
383,RT @glncv: Never stop re-tweeting #MigrationIsBeautiful  https://t.co/DL5emixBU1,Never stop retweeting
384,RT @UlrichMendgen: Hamburg holt sich seine Schanze zurück #g20 #nog20 https://t.co/a908SWiWOO,Hamburg holt sich seine Schanze zurck
385,RT @travisj0331: #IHaveARightToKnow why @HillaryClinton  deleted those emails.,why Hillary Clinton  deleted those emails
386,#igetdepressedwhen I see this in my kitchen,I see this in my kitchen
387,RT @HighlandsGOP: Letter: Comey Explains Why He's Reopened The FBI Investigation Into Hillary's Email Server https://t.co/0v40hFVpJn,Letter Comey Explains Why Hes Reopened The FBI Investigation Into Hillarys Email Server
388,RT @Jasper_Fly: John Carpenter Halloween or Rob Zombie Halloween #RejectedDebateTopics,John Carpenter Halloween or Rob Zombie Halloween
389,"RT @blicqer: I want to have a business where my kids, kids, kids will still have something going on long after I'm gone.
Chingy
#quote
#bla…",I want to have a business where my kids kids kids will still have something going on long after Im gone Chingy
390,Service with a smile  #UnlikelyThingsHeardAtWalmart,Service with a smile
391,"RT @TheFoundingSon: Merkel is in charge for #BerlinAttack
Stop importing terror! https://t.co/vtoQbThEoh",Merkel is in charge for importing terror
392,"RT @CharlesMBlow: PSA: If you're ""tired of hearing about racism,"" just imagine how tired its subjects are of experiencing it ... then work…",PSA If youre tired of hearing about racism just imagine how tired its subjects are of experiencing it  then work
393,I don't want Bill to be the first lady! Don't let Clinton's family happen to America! #NeverHillary #Trump2016 https://t.co/UgPhXvrndf,I dont want Bill to be the first lady Dont let Clintons family happen to America
394,RT @tom_lewisville: #MentalIllnessIcebreakers I would love to take you back to my place and maul you like a bear. Hell I'll even dress up a…,I would love to take you back to my place and maul you like a bear Hell Ill even dress up a
395,RT @LibertyBundle: RT : These Camel Toes Are Better Than The Ones You Have Seen B... https://t.co/iUs3KLzpJt Freedom768: These Camel… https…, These Camel Toes Are Better Than The Ones You Have Seen B Freedom768 These Camel
396,RT @sulimran: Hillary Clinton lost the day she was chosen over Bernie Sanders. So before criticising a voters choice Democrats should 1st q…,Hillary Clinton lost the day she was chosen over Bernie Sanders So before criticising a voters choice Democrats should 1st q
397,"RT @jimmylemons: trump will support local police &amp; they will support him,,,sanctuary cities will come to their senses or no federal $$$$,,f…",trump will support local police   they will support himsanctuary cities will come to their senses or no federal f
398,RT @WorldTruthTV: Trump Vows To ‘End Cancer’ By Deregulating ‘Hidden Drugs’ | World https://t.co/telXZBWPRi https://t.co/7ogq8TFGgF,Trump Vows To End Cancer By Deregulating Hidden Drugs  World
399,"RT @KevinAllred: so now the FBI, CIA, &amp; NSA all agree that Russia hacked our election to ELECT TRUMP. and we're just supposed to accept tho…",so now the FBI CIA   NSA all agree that Russia hacked our election to ELECT TRUMP and were just supposed to accept tho
400,"RT @ZaibatsuNews: Hillary Clinton Calls  Trump ""Our President"" While Conceding With Class And Dignity https://t.co/Hscrd3oW9J #ImWithHer ht…",Hillary Clinton Calls  Trump Our President While Conceding With Class And Dignity ht
401,RT @GreatAchin: Trump's Effort To End Era Where US Is 'Hacked By Everybody' - https://t.co/Xntygg7HKj https://t.co/quJbXP2UF1 #Hacked #Hack…,Trumps Effort To End Era Where US Is Hacked By Everybody
402,try to substitute sweets with vegetables lol https://t.co/N0R7IuN6zK,try to substitute sweets with vegetables lol
403,"RT @TEN_GOP: HUGE lines today at Trump rally in High Point, NC..

Keep RTing b/c the Media will never report on this!

#TrumpACandy https:/…",HUGE lines today at Trump rally in High Point NC  Keep RTing bc the Media will never report on this
404,RT @LeafyHoboSock: #ItsRiskyTo make Mexico pay for that wall,make Mexico pay for that wall
405,"RT @bfraser747: 💥💥 #Abortion

If this doesn't scream VOTE #TRUMP I don't know what does. There are possibly 3-4 SCOTUS positions at… ", this doesnt scream VOTE I dont know what does There are possibly 34 SCOTUS positions at
406,#TrumpBecause Obama’s #ImmigrationAction sucks 👂💩👂,Obamas sucks
407,"RT @americanpro1: @USFreedomArmy @StopStopHillary ...kerry,  you inveterate lying yacht tax cheat/ scumbag,  your head sculpture is ready f…",kerry  you inveterate lying yacht tax cheat scumbag  your head sculpture is ready f
408,"Trump’s Attacks on Khan Family Roil Campaign, But May Not Alter Race  #politics",Trumps Attacks on Khan Family Roil Campaign But May Not Alter Race
409,RT @DavidTheNative: Linda listen to me linda.  #MakeMeHateYouInOnePhrase,Linda listen to me linda
410,"RT @morganheritage: Launch with Kids in Malawi (Strictly Roots Africa Tour)
like, comment, share!... https://t.co/e1EBSPQMwt",Launch with Kids in Malawi Strictly Roots Africa Tour like comment share
411,Iowa governor declares state of emergency due to bird flu outbreak http://t.co/4ImnrTXGU3,Iowa governor declares state of emergency due to bird flu outbreak
412,11-year-old girl escapes arranged marriage… Guess her mother's religious beliefs. https://t.co/1MrUIewHfc,11yearold girl escapes arranged marriage Guess her mothers religious beliefs
413,"RT @PascoRevolution: OurRevolution2: RT JeanetteJing: Clinton destroyed evidence under Congressional subpoena, lied about it
jaketapper… ht…",OurRevolution2 JeanetteJing Clinton destroyed evidence under Congressional subpoena lied about it jaketapper ht
414,RT @FPRNRadio: By Kyle Rearden The following is my transcription of the late LaVoy Finicum's last moments on January 26th of... https://t.c…,By Kyle Rearden The following is my transcription of the late LaVoy Finicums last moments on January 26th of
415,RT @NaYaKnoMi: nothing is going to be done about it bcuz nothing in the universe is more important to a patriarchal white supremac… ,nothing is going to be done about it bcuz nothing in the universe is more important to a patriarchal white supremac
416,"RT @khanknee: One day, my words will make some sense. Just a teeny bit. That is enough for those who are waking. For those ahead of me. . .…",One day my words will make some sense Just a teeny bit That is enough for those who are waking For those ahead of me
417,RT @LibertyBundle: RT : In Houston on Xmas he lit his own mosque on fire. TV blamed Trump / hateful whites. A Muslim did it? Oh. Buri… http…, In Houston on Xmas he lit his own mosque on fire TV blamed Trump  hateful whites A Muslim did it Oh Buri
418,RT @vexmark: and scene https://t.co/CrVD5B2ceE,and scene
419,RT @LynsRodriguez: #ItsRiskyTo drink,drink
420,Roller Boogie Board @midnight #SummerAMovie,Roller Boogie Board
421,Hillary Clinton will surely start new war somewhere. If you had enough of Americans dying stop her! #ImWithHer https://t.co/ejPHQygMJ2,Hillary Clinton will surely start new war somewhere If you had enough of Americans dying stop her
422,Nothing of me is original. I am the combined effort of everyone I've ever known.  – Chuck Palahniuk,Nothing of me is original I am the combined effort of everyone Ive ever known   Chuck Palahniuk
423,RT @maryannemercog: Dems saying we want terror attacks so that Trump will win. No. Not quite. We want Trump to win so there are no terror a…,Dems saying we want terror attacks so that Trump will win No Not quite We want Trump to win so there are no terror a
424,"RT @PtdArcole: ""Si l'état est laïc, la France est chrétienne...""
Charles de Gaulle https://t.co/Mz3K1U4X0m",Si ltat est lac la France est chrtienne Charles de Gaulle
425,Sie ist nicht gleichgültig! #Merkelmussbleiben #girlstalkselfies,Sie ist nicht gleichgltig
426,RT @PhillyOnAirNow: Russian rocket carrying Mexican satellite fails after launch  #money,Russian rocket carrying Mexican satellite fails after launch
427,RT @jd_Constitution: @realDonaldTrump https://t.co/2blKH5jpUf,
428,RT @joepalojoe: Politico Reporter Gets Caught AGAIN Sending A Story To A Clinton Staffer For Approval https://t.co/ihs0FGIih1 via @dailycal…,Politico Reporter Gets Caught AGAIN Sending A Story To A Clinton Staffer For Approval via
429,What’s better than a curved #television? https://t.co/sIHqFvNC8c,Whats better than a curved
430,"RT @hollyhoodbaybay: I Mean it is #Thursday‼️‼️‼️
ALL ROADS LEAD 2 #TruthNightclubDallas.
The #YoungCityTurnUp 
9100… https://t.co/C1Ic54eW…",I Mean it is ROADS LEAD 2  9100
431,Thomas Jefferson and Jerry the Mouse HAHAHAHAHAHA @midnight  #AddCartoonsToHistory,Thomas Jefferson and Jerry the Mouse HAHAHAHAHAHA
432,"I wanted to learn a few foreign languages, and therefore I had to go abroad.–Ella Maillart",I wanted to learn a few foreign languages and therefore I had to go abroadElla Maillart
433,RT @CedricButterfi2: Bruvs perhaps gas has got to yours brains . I . Wanting mass murders of people's is not kinds. Especially afters holoc…,Bruvs perhaps gas has got to yours brains  I  Wanting mass murders of peoples is not kinds Especially afters holoc
434,RT @rianru: МИД: Китай выступил против применения санкций в украинском вопросе https://t.co/2wZSVmMf0X https://t.co/R9TcRo8TPe,    
435,Clinton's press corps on historic campaign https://t.co/y5FVOWBR1p https://t.co/ZDI9gScDBE,Clintons press corps on historic campaign
436,RT @FLNativeDeb: Can we have him Arrested/Sent 2 GITMO Now? He's Endangered The Whole Country W/Premeditation-There has 2 b something https…,Can we have him ArrestedSent 2 GITMO Now Hes Endangered The Whole Country WPremeditationThere has 2 b something
437,"RT @wilfredchan: Rep. Marcia Fudge (Ohio): ""I will not be attending #Inauguration. I will be at home in Cleveland. #IStandWithJohnLewis"" @R…",Rep Marcia Fudge Ohio I will not be attending I will be at home in Cleveland
438,"RT @CtrlSec: Targeted #ISIS accounts
https://t.co/XDQgZeDtSl
https://t.co/unxGYOqehV
https://t.co/Ob7VnzEvwb
#targets #iceisis #opiceisis",Targeted
439,Wish you were…beer!,Wish you werebeer
440,#IslamKills Ich kann es nicht fassen. All mein Mitgefühl,Ich kann es nicht fassen All mein Mitgefhl
441,RT @yaboymiko: Have a hit on your hands? You won't want to miss this contest!!! #SongContest #PushPowerHits https://t.co/IgZUxM23pk https:/…,Have a hit on your hands You wont want to miss this contest
442,RT @SteveDeaceShow: This https://t.co/zrsCiIcDBr,This
443,"RT @Reductress: Woman Asks Friends to Play an Inauguration Drinking Game As If Any of This Is Fun:
https://t.co/52OV0DiyzO https://t.co/Ryw…",Woman Asks Friends to Play an Inauguration Drinking Game As If Any of This Is
444,"Trump, stirring surprise, praises Angela Merkel as a ‘great world leader’ despite earlier attacks https://t.co/Ua0jrBRn7g #politics",Trump stirring surprise praises Angela Merkel as agreat world leader despite earlier attacks
445,RT @joshuawoodz: It's frustrating how republicans are their own worst enemy. #Hastert,Its frustrating how republicans are their own worst enemy
446,"RT @SooperMexican: On behalf of those who defended Sarah Palin to you who told us she was crazy, I apologize. #PorMiCulpa https://t.co/N18B…",On behalf of those who defended Sarah Palin to you who told us she was crazy I apologize
447,"RT @TracyLynneCrawf: #ThingsThatDisturbMe Coworkers who talk about their party right in front of you, then don't invite you. Rude.",Coworkers who talk about their party right in front of you then dont invite you Rude
448,"Watch: black Trump supporter explains why she is voting for Donald Trump!

Blacks for Trump 
#TrumpAHorrorMovie https://t.co/BWxNqYXJv6",Watch black Trump supporter explains why she is voting for Donald Trump  Blacks for Trump
449,RT @Gamiliell: skid marks on my brave heart  #AddASongRuinAMovie,skid marks on my brave heart
450,RT @keithboykin: Trump is like a coach of a badly losing Little League team announcing in the 8th inning that he won't accept the final sco…,Trump is like a coach of a badly losing Little League team announcing in the 8th inning that he wont accept the final sco
451,RT @blicqer: ▶ 'THE O'REILLY FACTOR' Conway: Russia big factor in relationship with Trump https://t.co/Vm7JhCq8Ez @FoxNews https://t.co/OeE…, THE OREILLY FACTOR Conway Russia big factor in relationship with Trump
452,"RT @foxnewsradio: Donald Trump reaches out to anti-abortion voters
https://t.co/vQxYMegPzb",Donald Trump reaches out to antiabortion
453,"RT @OKKinderhookRG: ""I'm a perfectionist. Sometimes I have to remind myself that it's OK if there are flaws here &amp; there"" https://t.co/fbPk…",Im a perfectionist Sometimes I have to remind myself that its OK if there are flaws here   there
454,RT @ChadKMills: #BREAKING: #RoofTrial jurors will decide Roof's guilt or innocence tomorrow after closing arguments. #sctweets @wis10 #Dyla…,jurors will decide Roofs guilt or innocence tomorrow after closing arguments
455,RT @RiscattoNaz: E ci mancava solo lei all'appello per insultare i cittadini che si oppongono alle requisizioni di case private... https://…,E ci mancava solo lei allappello per insultare i cittadini che si oppongono alle requisizioni di case private
456,RT @Portosj81J: New Clinton = Same Old Clinton with new make-up done by an Undertaker. https://t.co/KTGlYEBhFk,New Clinton  Same Old Clinton with new makeup done by an Undertaker
457,"RT @KatheleenMitro: One by one they are starting to fall  
Russian influenced one and all
Will each domino have a Russian name?
#TrumpRussi…",One by one they are starting to fall   Russian influenced one and all Will each domino have a Russian name
458,#StopIslam A German woman is raped by a African/Arab invader every three days... #IslamKills,A German woman is raped by a AfricanArab invader every three days
459,"RT @JaywanInc1: Don't spam it. Submit it! 
https://t.co/qicMykIByA
#DailyGrind #Salute 💪💯",Dont spam it Submit it
460,RT @ActivistPost: New York Times CEO Delivers Speech on Eradicating “Fake News” https://t.co/pjcnqjMOKp,New York Times CEO Delivers Speech on Eradicating Fake News
461,RT @completelymoral: Hillary could be the greatest Change Agent in American history! @HillaryClinton https://t.co/XQfxyZRSWU,Hillary could be the greatest Change Agent in American history Hillary Clinton
462,RT @Justis4u: @gloed_up and yet so many #black #sheeples just follow #GOP &amp; not a single black face in the #internship picture https://t.co…,and yet so many just follow   not a single black face in the picture
463,"RT @BeanieCannt: #POTUSLastTweet  
 'A bookie gave me odds of a million to one that world would end in 2017. 
Donald put a million on to sa…",   A bookie gave me odds of a million to one that world would end in 2017  Donald put a million on to sa
464,RT @TheaGood: 5 SPYING TECHNOLOGIES       https://t.co/thiwzHEAbj,5 SPYING TECHNOLOGIES
465,RT @America_1st_: Daily reminder that the same people who loved and worshipped Castro call Trump a dictator. https://t.co/5XXD7bKmJ5,Daily reminder that the same people who loved and worshipped Castro call Trump a dictator
466,RT @truthglow: https://t.co/3OQFEDXDKp,
467,RT @NewNowMan: #2016ElectionIn3Words civility versus incivility,civility versus incivility
468,"RT @jimmiewaverly: #ThingsDoneByMistake

Using my car's keyless entry to try to unlock my house door.  Standing there like https://t.co/MIp…",my cars keyless entry to try to unlock my house door  Standing there like
469,Celebrities of all types are fanning out for Clinton https://t.co/J5EVnshg1m,Celebrities of all types are fanning out for Clinton
470,RT @wackoworks: @real DonaldTrump Your secret is out!  Why the Donald Trump child rape lawsuit is credible and can't be dismissed https://t…,DonaldTrump Your secret is out  Why the Donald Trump child rape lawsuit is credible and cant be dismissed
471,RT @HeyTammyBruce: San Bernardino terrorist’s brother pleads guilty in immigration fraud case https://t.co/fFaoOebhsz HT @alimhaider,San Bernardino terrorists brother pleads guilty in immigration fraud case HT
472,"RT @kat_rogers: Jim is a WW2 vet and longtime @HillaryClinton supporter. ""Volunteering is in my genes."" @HillaryforNH #Hillary2016 http://t…",Jim is a WW2 vet and longtime Hillary Clinton supporter Volunteering is in my genes
473,RT @kharmakiss: @SuperiorMater you're an ignorant twat. If you can't separate humor from reality then your kids are in for a fun life.,youre an ignorant twat If you cant separate humor from reality then your kids are in for a fun life
474,"RT @realDonaldTrump: I agree, @MMFlint- To all Americans, I see you &amp; I hear you. I am your voice. Vote to #DrainTheSwamp w/ me on 11/8. ht…",I agree To all Americans I see you   I hear you I am your voice Vote to w me on 118 ht
475,RT @sn0wbl0w: How long will @realDonaldTrump have to prove everyone wrong b4 they realize this is a man that actually knows what he's doing…,How long will have to prove everyone wrong b4 they realize this is a man that actually knows what hes doing
476,RT @tinockha1: @overjas @nuddart @BrindusaB1 @SusanScCastaldi @lamb041 @cobixreyes @Papryka5 @Amyperuana @ipe_rosa1 https://t.co/viNA8CQOU8,
477,RT @JoanneWiggyG: #SignsYouAreAmerican Your McDonalds actually looks like the picture! We get a poor substitute in the UK😔,Your McDonalds actually looks like the picture We get a poor substitute in the UK
478,"It's #PrimaryDay! Step aside, suspicious @HillaryClinton ! America wants to meet new @realDonaldTrump President! https://t.co/GfhueMjdZE",Its Step aside suspicious Hillary Clinton  America wants to meet new President
479,#CCOT The Big 6 “#Propaganda Machine”  https://t.co/u9im0Jtmvy #TV #Radio #news #Independents #media #Centrist #Republicans #Conservatives,The Big 6 Machine
480,RT @Delo_Taylor: The people who helped Ben Carson out of that elevator are creating a culture of dependency. Let him pull himself up out of…,The people who helped Ben Carson out of that elevator are creating a culture of dependency Let him pull himself up out of
481,Proverbs 1:18-19 They ambush their own lives. So R th ways of every1 who gains by violence,Proverbs 11819 They ambush their own lives So R th ways of every1 who gains by violence
482,"RT @JohnSWright49: Hanin' out with @BillZucker, @mikeshippey and @Zhangarang at @TheComedyStore on A Friday night! https://t.co/pyQesFcxts…",Hanin out with and at on A Friday night
483,RT @buckyboone27: The Obama Administration’s Terrorism Policy In Three Tweets https://t.co/3D5auwJtqw via @dailycaller,The Obama Administrations Terrorism Policy In Three Tweets via
484,"RT @bmaggiemay: Trump hired ex-CIA director James Woolsey as advisor. He ""profits"" from the war on terror https://t.co/ziwiLvNREm https://t…",Trump hired exCIA director James Woolsey as advisor He profits from the war on terror
485,RT @blicqer: ▶@BlackAmericaWeb: What Kind Of Selfie-Taker Are You? [EXCLUSIVE] https://t.co/w0gxiwX6M0,What Kind Of SelfieTaker Are You EXCLUSIVE
486,"RT @Pamela_Moore13: Jon Voight :""If God allows truth to be said &amp; heard, then we will see Trump as President of this great America."" https:…",Jon Voight If God allows truth to be said   heard then we will see Trump as President of this great America
487,"RT @JimmyDonofrio: Oh Twitter pointed it out, huh? Good thing we have Twitter to defend our democracy https://t.co/waZjWy09CS",Oh Twitter pointed it out huh Good thing we have Twitter to defend our democracy
488,How would the tax plans of Hillary Clinton and Donald Trump affect you? https://t.co/EjjCshgQnI,How would the tax plans of Hillary Clinton and Donald Trump affect you
489,RT @GoldStarMomTX55: ChristiChat: RT WayneDupreeShow: LIVE on #Periscope: Please do not trust the media on Election Day. They job is to… ht…,ChristiChat WayneDupreeShow LIVE on Please do not trust the media on Election Day They job is to ht
490,"RT @Conservative_VW: Support our Men in Blue ...

Cuz Crack dealers ain't keep you and your family safe😏 http://t.co/L0GfYcS26d",Support our Men in Blue   Cuz Crack dealers aint keep you and your family safe
491,#IslamKills RT @DnGiooo: #PrayForBrussels https://t.co/aS3LbZNRWK,
492,"RT @djiboutique: audience member: ""run for president!""
michelle obama: https://t.co/OGAr9Yjxep",audience member run for president michelle obama
493,"RT @Trump_Videos: have lost all respect for Chris Wallace on @Fox 
who cares about the Birther issue - https://t.co/Dpa1OuMKKS",have lost all respect for Chris Wallace on  who cares about the Birther issue
494,"Trump in Iowa: Do we want to risk the safety of our homes, businesses on Obama/Clinton's dangerous foreign policy? https://t.co/T2EnrfWi5N",Trump in Iowa Do we want to risk the safety of our homes businesses on ObamaClintons dangerous foreign policy
495,DiCaprio to host fundraiser for Hillary Clinton https://t.co/7kuVynYIBz #politics,DiCaprio to host fundraiser for Hillary Clinton
496,"RT @grandmatobe: #wow, worse than we could have imagined https://t.co/PasyDzXKf2",worse than we could have imagined
497,RT @TRobinsonNewEra: Wikileaks: Hillary Clinton Had Gun Control Supporters Planted In Town Hall Audience - Breitbart https://t.co/3o52RLvSU…,Wikileaks Hillary Clinton Had Gun Control Supporters Planted In Town Hall Audience  Breitbart
498,RT @USATODAY: #Fireworks can cause respiratory issues -- the worst air quality peaks 9-10 p.m. and returns to normal by noon July 5 http://…,can cause respiratory issues  the worst air quality peaks 910 pm and returns to normal by noon July 5
499,Tell me and I forget. Teach me and I remember. Involve me and I learn.,Tell me and I forget Teach me and I remember Involve me and I learn
500,#RejectedUsesForCandyCorn  eraser, eraser
501,RT @rodimusprime: Presidential Election: High Early Turnout Among Latino Voters Could Mean Trouble for Donald - The New York Times https://…,Presidential Election High Early Turnout Among Latino Voters Could Mean Trouble for Donald  The New York Times
502,RT @Chris_1791: Turkey Turns To The West http://t.co/GVh07CUbAE,Turkey Turns To The West
503,Air Force Mom: I Felt 'Disrespected' by Boos at Pence Rally https://t.co/0Di1xhlxQv #politics,Air Force Mom I Felt Disrespected by Boos at Pence Rally
504,RT @Jayscott19_52: @TheWeiseDame @misstozak @InGodIDoTrust @adjunctprofessr #ObamaFarewell @LionandLamb Obama wants the US to be a democrac…,Obama wants the US to be a democrac
505,RT @TheYuleKnight: Buy fridge just to store all my eggnog. #ToDoListBeforeChristmas https://t.co/qq4yE6hlqp,Buy fridge just to store all my eggnog
506,#TopNews Police union: open carry of guns should be suspended at Republican convention in Cleveland,Police union open carry of guns should be suspended at Republican convention in Cleveland
507,total mistake dude! Never do like that https://t.co/FUZXaS7K7T,total mistake dude Never do like that
508,"RT @chiefplan1: So Delusional Donnie ends as he started:
Insulting people--2nite a woman, native Americans &amp; 1 last Anti-Semitic campaign a…",So Delusional Donnie ends as he started Insulting people2nite a woman native Americans   1 last AntiSemitic campaign a
509,RT @HealthRanger: Bill prefiled in #Alaska would legalize industrial hemp production https://t.co/XKHD8rmWuY #hemp #tlot,Bill prefiled in would legalize industrial hemp production
510,"RT @aintnobarbie: Man allegedly paid to have girl smuggled to US, assaulted her https://t.co/HpU0gt5Mmf #EndTrafficking #SecureTheBorder #B…",Man allegedly paid to have girl smuggled to US assaulted her
511,"You're welcome in America if you entered it legally😉
#tcot #pjnet https://t.co/ewHkXeO3Iv",Youre welcome in America if you entered it legally
512,"RT @RapJuggernaut: You were born to win, but to be a winner, you must plan to win, prepare to win, and expect to win.",You were born to win but to be a winner you must plan to win prepare to win and expect to win
513,RT @PaulaWarrington: Tell yourself it's just one day then you can go back to ignoring these people. #SurvivalGuideToThanksgiving,Tell yourself its just one day then you can go back to ignoring these people
514,#MakeTVShowsCanadian The Fresh Prince Edward Island,The Fresh Prince Edward Island
515,RT @MissAngelaDavis: mad I missed that.,mad I missed that
516,"RT @K24English: ICYMI: #Turkey arrests, then releases Kurdish lawmaker
https://t.co/ISIaevLe3F
#TwitterKurds https://t.co/mVodejKR46",ICYMI arrests then releases Kurdish
517,RT @ChrisCoon4: Astroturf 'Outrage Machine' of Paid Trolls Floods Social Media to Counteract Negative News About Hillary Clinton | https://…,Astroturf Outrage Machine of Paid Trolls Floods Social Media to Counteract Negative News About Hillary Clinton
518,"RT @LVNancy: Gorsuch: ""The intentional taking of Human Life is Wrong"" #GorsuchNomination 
#Abortion is NOT Women's Health #Tucker https://t…",Gorsuch The intentional taking of Human Life is Wrong  is NOT Womens Health
519,RT @blockneil4: No Chance I'll Swallow #AlternativeAcronymInterpretations,No Chance Ill Swallow
520,"RT @OneMoodyHuman: #POTUSLastTweet

Build bridges, not walls
Build hope, not hate
Don't fuck this up people!",bridges not walls Build hope not hate Dont fuck this up people
521,"RT @KarenaJeannette: It's high time for something new. Do not resuscitate a dying, but entrenched Dem party. @DraftBernie #DumpTheDems #nin…",Its high time for something new Do not resuscitate a dying but entrenched Dem party
522,Everybody needs somebody. - Mahalia Jackson,Everybody needs somebody  Mahalia Jackson
523,Nude leggings on a chunky girl #ThingsMoreTrustedThanHillary,Nude leggings on a chunky girl
524,RT @civilrights_rr: Muslim Voters Name Civil Rights as Key Issue as Electorate Turns Away From GOP: Survey https://t.co/TNPnbMGYGf https://…,Muslim Voters Name Civil Rights as Key Issue as Electorate Turns Away From GOP Survey
525,What do you think is coming next?!  #phosphorusdisaster,What do you think is coming next
526,"RT @cutupx2: 🔥🔥Complacency will not give you anymore than what you already have. Change is to take the Risk, without Risk nothing new is ev…",Complacency will not give you anymore than what you already have Change is to take the Risk without Risk nothing new is ev
527,"Trump campaign CEO didn't want daughters 'going to school with Jews,' ex-wife says  #politics",Trump campaign CEO didnt want daughters going to school with Jews exwife says
528,"RT @kiddstclair: I save all my change throughout the year &amp; throw it at strippers for the holidays

#SecondhandGifts",I save all my change throughout the year   throw it at strippers for the holidays
529,RT @ArcticFox2016: ★★★ Patriots Who Dare... Join our fight to save America! ➠ Click Here https://t.co/TM3sg8AXwm #BB4SP https://t.co/7Q4b4E…, Patriots Who Dare Join our fight to save America  Click Here
530,"RT @cyvault: MSNBC panel SHOCKED to learn #Trump warned about 9/11 in Jan 2000, 19+ mo before attack!
#SundayMorning #NeverForget https://t…",MSNBC panel SHOCKED to learn Donald Trump warned about 911 in Jan 2000 19 mo before attack
531,RT @DanteB4u: WATCH: How #GOP &amp; #ALEC (American Legislative Exchange Council) Circumvent Democracy In The Republic https://t.co/ZxtNGcXR3W…,WATCH How   American Legislative Exchange Council Circumvent Democracy In The Republic
532,RT @theinquisitr: Minnesota Parents Who ‘Had Issues With Doctors’ Allegedly Let Their Son Die Of Pancreatitis Rather Than Get... https://t.…,Minnesota Parents Who Had Issues With Doctors Allegedly Let Their Son Die Of Pancreatitis Rather Than Get
